Ullage  (cm.),-1,0,1,2,3,4
258,13988.4,13990.4,13992.4,13994.3,13996.2,13998.1
259,13981.3,13983.3,13985.2,13987.2,13989.1,13990.9
260,13974.1,13976.1,13978.1,13980,13981.9,13983.8
261,13967,13969,13970.9,13972.9,13974.8,13976.7
262,13959.9,13961.8,13963.8,13965.7,13967.6,13969.5
263,13952.7,13954.7,13956.7,13958.6,13960.5,13962.4
264,13945.6,13947.6,13949.5,13951.5,13953.4,13955.2
265,13938.4,13940.4,13942.4,13944.3,13946.2,13948.1
266,13931.3,13933.3,13935.2,13937.2,13939.1,13940.9
267,13924.2,13926.1,13928.1,13930,13931.9,13933.8
268,13917,13919,13921,13922.9,13924.8,13926.7
269,13909.9,13911.9,13913.8,13915.7,13917.6,13919.5
270,13902.7,13904.7,13906.7,13908.6,13910.5,13912.4
275,13867,13869,13871,13872.9,13874.8,13876.7
280,13831.3,13833.3,13835.3,13837.2,13839.1,13841
285,13795.6,13797.6,13799.6,13801.5,13803.4,13805.2
290,13759.9,13761.9,13763.8,13765.8,13767.7,13769.5
295,13724.2,13726.2,13728.1,13730.1,13732,13733.8
300,13688.5,13690.5,13692.4,13694.4,13696.3,13698.1
305,13652.8,13654.8,13656.7,13658.7,13660.5,13662.4
310,13617.1,13619.1,13621,13622.9,13624.8,13626.7
315,13581.4,13583.4,13585.3,13587.2,13589.1,13591
320,13545.7,13547.7,13549.6,13551.5,13553.4,13555.3
325,13510,13512,13513.9,13515.8,13517.7,13519.6
330,13474.3,13476.2,13478.2,13480.1,13482,13483.9
335,13438.6,13440.5,13442.5,13444.4,13446.3,13448.2
340,13402.8,13404.8,13406.8,13408.7,13410.6,13412.4
345,13367.1,13369.1,13371.1,13373,13374.9,13376.7
350,13331.4,13333.4,13335.4,13337.3,13339.2,13341
355,13295.7,13297.7,13299.7,13301.6,13303.5,13305.3
360,13260,13262,13264,13265.9,13267.8,13269.6
365,13224.3,13226.3,13228.3,13230.2,13232.1,13233.9
370,13188.6,13190.6,13192.6,13194.5,13196.3,13198.2
375,13152.9,13154.9,13156.9,13158.8,13160.6,13162.5
380,13117.2,13119.2,13121.1,13123.1,13124.9,13126.8
385,13081.5,13083.5,13085.4,13087.4,13089.2,13091.1
390,13045.8,13047.8,13049.7,13051.6,13053.5,13055.4
395,13010.1,13012.1,13014,13015.9,13017.8,13019.6
400,12974.4,12976.4,12978.3,12980.2,12982.1,12983.9
405,12938.7,12940.7,12942.6,12944.5,12946.4,12948.2
410,12903,12905,12906.9,12908.8,12910.7,12912.5
415,12867.3,12869.3,12871.2,12873.1,12875,12876.8
420,12831.6,12833.5,12835.5,12837.4,12839.3,12841.1
425,12795.9,12797.8,12799.8,12801.7,12803.6,12805.4
430,12760.1,12762.1,12764.1,12766,12767.9,12769.7
435,12724.4,12726.4,12728.4,12730.3,12732.2,12734
440,12688.7,12690.7,12692.7,12694.6,12696.4,12698.3
445,12653,12655,12657,12658.9,12660.7,12662.5
450,12617.3,12619.3,12621.3,12623.2,12625,12626.8
455,12581.6,12583.6,12585.6,12587.5,12589.3,12591.1
460,12545.9,12547.9,12549.9,12551.8,12553.6,12555.4
465,12510.2,12512.2,12514.2,12516.1,12517.9,12519.7
470,12474.5,12476.5,12478.4,12480.3,12482.2,12484
475,12438.8,12440.8,12442.7,12444.6,12446.5,12448.3
480,12403.1,12405.1,12407,12408.9,12410.8,12412.6
485,12367.4,12369.4,12371.3,12373.2,12375.1,12376.9
490,12331.7,12333.7,12335.6,12337.5,12339.4,12341.2
495,12296,12298,12299.9,12301.8,12303.7,12305.5
500,12260.3,12262.3,12264.2,12266.1,12268,12269.7
505,12224.6,12226.6,12228.5,12230.4,12232.2,12234
510,12188.9,12190.9,12192.8,12194.7,12196.5,12198.3
515,12153.2,12155.1,12157.1,12159,12160.8,12162.6
520,12117.4,12119.4,12121.4,12123.3,12125.1,12126.9
525,12081.7,12083.7,12085.7,12087.6,12089.4,12091.2
530,12046,12048,12050,12051.9,12053.7,12055.5
535,12010.3,12012.3,12014.3,12016.2,12018,12019.8
540,11974.6,11976.6,11978.6,11980.5,11982.3,11984.1
545,11938.9,11940.9,11942.9,11944.7,11946.6,11948.4
550,11903.2,11905.2,11907.2,11909,11910.9,11912.6
555,11867.5,11869.5,11871.4,11873.3,11875.2,11876.9
560,11831.8,11833.8,11835.7,11837.6,11839.5,11841.2
565,11796.1,11798.1,11800,11801.9,11803.8,11805.5
570,11760.4,11762.4,11764.3,11766.2,11768,11769.8
575,11724.7,11726.7,11728.6,11730.5,11732.3,11734.1
580,11689,11691,11692.9,11694.8,11696.6,11698.4
585,11653.3,11655.3,11657.2,11659.1,11660.9,11662.7
590,11617.6,11619.6,11621.5,11623.4,11625.2,11627
595,11581.9,11583.9,11585.8,11587.7,11589.5,11591.3
600,11546.2,11548.2,11550.1,11552,11553.8,11555.6
605,11510.4,11512.5,11514.4,11516.3,11518.1,11519.8
610,11474.7,11476.7,11478.7,11480.6,11482.4,11484.1
615,11439,11441,11443,11444.9,11446.7,11448.4
620,11403.3,11405.3,11407.3,11409.2,11411,11412.7
625,11367.6,11369.6,11371.6,11373.4,11375.3,11377
630,11331.9,11333.9,11335.9,11337.7,11339.5,11341.3
635,11296.2,11298.2,11300.2,11302,11303.8,11305.6
640,11260.5,11262.5,11264.5,11266.3,11268.1,11269.9
645,11224.8,11226.8,11228.7,11230.6,11232.4,11234.2
650,11189.1,11191.1,11193,11194.9,11196.7,11198.5
655,11153.4,11155.4,11157.3,11159.2,11161,11162.7
660,11117.7,11119.7,11121.6,11123.5,11125.3,11127
665,11082,11084,11085.9,11087.8,11089.6,11091.3
670,11046.3,11048.3,11050.2,11052.1,11053.9,11055.6
675,11010.6,11012.6,11014.5,11016.4,11018.2,11019.9
680,10974.9,10976.9,10978.8,10980.7,10982.5,10984.2
